Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,Type 1,Type 2,Type 3,Type 4
24310,68365,,support.eu@aspiegel.com,huawei music problems and suggestions,mxxxxx@xxxx.com отправлено с моего телефона huawei,AppGallery &amp; Games / Other Requests,,,,
24075,67730,,support.pt@aspiegel.com,appgallery probleme und vorschläge,beschreibung update lässt sich nicht installieren kontaktinformationen sxxxxx@xxxx.comdescription update cannot be installed contact information sxxxxx@xxxx.com description update cannot be installed contact information sxxxxx@xxxx.comdescription update cannot be installed contact information sxxxxx@xxxx.com,AppGallery &amp; Games / Suggestions &amp; Feedback,,,,
24075,67762,,support.pt@aspiegel.com,appgallery probleme und vorschläge appgallery problems and suggestions,"danke nach neuinstallation der app funktioniert alles einwandfrei mfg *****(per) schrieb am do., 8. sep. *****(phone), 20:42: sehr geehrter kunde, vielen dank, dass sie mit aspiegel kontakt aufgenommen haben. wir hoffen, dass es ihnen gut geht. um ihnen die beste lösung anbieten zu können, bitten wir sie, ihre anfrage mit den folgenden informationen zu präzisieren: 1. eine beschreibung des problems 2. ein screenshot oder eine videoaufnahme des fehlers 3. wann das problem aufgetreten ist 4. ihre huawei-id: app gallery>hms core>öffnen und dann einen screenshot machen 5. ihr handymodell 6. sn-nummer ihres geräts 7. version der app-galerie: huawei app-galerie>mich> über 8. hms core version: huawei app-galerie>hms-kern>öffnen> einstellungen> über 9. verwandte app 10. version der verwandten app 11. das protokoll der app-galerie wenn sie weitere fragen haben, antworten sie bitte auf diesen e-mail-thread und wir werden ihnen gerne weiterhelfen. mit freundlichen grüßen, *****(per) customer support team a aspiegel se é uma empresa constituída segundo as leis da *****(loc), com sede em dublin, *****(loc). aspiegel se é o provedor de huawei mobile services para huawei e honor proprietários de dispositivos na europa, canadá, austrália, nova zelândia e outros países. from : xxxxx@xxxx.com sent : thursday 08 september *****(phone) 20:07 to : xxxxx@xxxx.com subject : appgallery probleme und vorschläge beschreibung update lässt sich nicht installieren kontaktinformationen sxxxxx@xxxx.com *****(phone)",AppGallery &amp; Games / Suggestions &amp; Feedback,,,,
23748,66706,,support.pt@aspiegel.com,appgallery problems and suggestions,description . contact information axxxxx@xxxx.com,AppGallery &amp; Games / Other Requests,,,,
23740,66684,,support.eu@aspiegel.com,,ho pagato ma l'applicazione non ha funzionato posso essere rimborsata. grazie ho i paid but the application did not work can i be refunded. thank you,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,,,,
23683,66429,,support.eu@aspiegel.com,,"product: appgallery & games requests: using appgallery (i.e. manage service country) contact full name: inês lavrador ramos phone numbe +*****(phone) contact email address: xxxxx@xxxx.com summary of the issue: good morning! i would like to know how i can use a voucher that i won on app gallery since the store now was put together with other store, and i still have the voucher to use! thanks in advance! home | news | events | products | partners | support copyright aspiegel se","AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",,,,
23683,67433,,support.eu@aspiegel.com,,"hello , good morning! so the campaign name was ""xmas download and win play pt"" as you will see in the screenshot i will send you, and i won a voucher to use it in a online store called ""*****(person)"" but now ""*****(person)"" is a part of other company/store called ""*****(person)"" and what's my huawei i'd service country? thanks in advance! a ter, 6 de set de *****(phone), 12:16, escreveu: dear customer, thank you for contacting *****(person). we hope you’re doing well. this email is regarding your concern about *****(person) worry i will do my best to solve your problem as soon as possible. in order to analyze your case in detail i will need the following information from you: error screenshot the name of the champagne you have attended your huawei id service country we would greatly appreciate your feedback regarding our email exchange, as we need your input to keep improving our service. therefore, we invite you to fill in the survey that will soon arrive on the email address you used to contact us. if you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. sincerely, silvia *****(person) customer support team *****(person) se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. *****(person) se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : tuesday 06 september *****(phone) 12:17 to : xxxxx@xxxx.com subject : *****(person) support issue submit product: appgallery & games requests: using appgallery (i.e. manage service country) contact full name: inês lavrador ramos phone numbe +*****(phone) contact email address: xxxxx@xxxx.com summary of the issue: good morning! i would like to know how i can use a voucher that i won on app gallery since the store now was put together with other store, and i still have the voucher to use! thanks in advance! home | news | events | products | partners | support copyright *****(person) se *****(phone)","AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",,,,
23683,67516,,support.eu@aspiegel.com,,"i have to an account there? also i don't speak german! escreveu no dia quinta, 8/09/*****(phone) à(s) 12:08: sehr geehrter kunde, wir empfehlen ihnen, uns über den discord-kanal https://discord.gg/tkyzc5cagu direkt von ihrem computer aus zu kontaktieren. *****(person) haben, discord zu benutzen, oder wenn sie es vorziehen, dass wir den fall bearbeiten, geben sie uns bitte folgende informationen für weitere untersuchungen: - ihr dienstland appgallery> ich> einstellungen> land - ihre discord-kontaktinformationen, falls zutreffend wenn sie weitere fragen haben, antworten sie bitte auf diesen e-mail und wir helfen ihnen gerne bei ihren zweifeln weiter. *****(person), andrea *****(person) customer support team *****(person) se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. *****(person) se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : thursday 08 september *****(phone) 12:20 to : xxxxx@xxxx.com subject : *****(person) support issue submit hello , good morning! so the campaign name was ""xmas download and win play pt"" as you will see in the screenshot i will send you, and i won a voucher to use it in a online store called ""*****(person)"" but now ""*****(person)"" is a part of other company/store called ""*****(person)"" and what's my huawei i'd service country? thanks in advance! a ter, 6 de set de *****(phone), 12:16, < xxxxx@xxxx.com> escreveu: dear customer, thank you for contacting *****(person). we hope you’re doing well. this email is regarding your concern about *****(person) worry i will do my best to solve your problem as soon as possible. in order to analyze your case in detail i will need the following information from you: error screenshot the name of the champagne you have attended your huawei id service country we would greatly appreciate your feedback regarding our email exchange, as we need your input to keep improving our service. therefore, we invite you to fill in the survey that will soon arrive on the email address you used to contact us. if you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. sincerely, silvia *****(person) customer support team *****(person) se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. *****(person) se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : tuesday 06 september *****(phone) 12:17 to : xxxxx@xxxx.com subject : *****(person) support issue submit product: appgallery & games requests: using appgallery (i.e. manage service country) contact full name: inês lavrador ramos phone numbe +*****(phone) contact email address: xxxxx@xxxx.com summary of the issue: good morning! i would like to know how i can use a voucher that i won on app gallery since the store now was put together with other store, and i still have the voucher to use! thanks in advance! home | news | events | products | partners | support copyright *****(person) se *****(phone) *****(phone)","AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",,,,
23683,67915,,support.eu@aspiegel.com,,"sure, the country of my app gallery and my country is portugal! i can't enter on discord sorry, i don't understand it! a qui, 8 de set de *****(phone), 13:07, escreveu: dear customer, this email is regarding your concern about *****(person) voucher. we recommend that you contact us through the discord channel https://discord.gg/tkyzc5cagu directly from your computer. if you are having difficulty using discord, or if you prefer us to handle the case, please provide us with the following information for further investigation: - your country of service appgallery> me> settings> country. - your discord contact information, if applicable. if you have any further questions, please reply to this e-mail and we will be happy to help you with your doubts. sincerely, andrea *****(person) customer support team *****(person) se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. *****(person) se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : thursday 08 september *****(phone) 13:48 to : xxxxx@xxxx.com subject : *****(person) support issue submit i have to an account there? also i don't speak german! < xxxxx@xxxx.com> escreveu no dia quinta, 8/09/*****(phone) à(s) 12:08: sehr geehrter kunde, wir empfehlen ihnen, uns über den discord-kanal https://discord.gg/tkyzc5cagu direkt von ihrem computer aus zu kontaktieren. *****(person) haben, discord zu benutzen, oder wenn sie es vorziehen, dass wir den fall bearbeiten, geben sie uns bitte folgende informationen für weitere untersuchungen: - ihr dienstland appgallery> ich> einstellungen> land - ihre discord-kontaktinformationen, falls zutreffend wenn sie weitere fragen haben, antworten sie bitte auf diesen e-mail und wir helfen ihnen gerne bei ihren zweifeln weiter. *****(person), andrea *****(person) customer support team *****(person) se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. *****(person) se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : thursday 08 september *****(phone) 12:20 to : xxxxx@xxxx.com subject : *****(person) support issue submit hello , good morning! so the campaign name was ""xmas download and win play pt"" as you will see in the screenshot i will send you, and i won a voucher to use it in a online store called ""*****(person)"" but now ""*****(person)"" is a part of other company/store called ""*****(person)"" and what's my huawei i'd service country? thanks in advance! a ter, 6 de set de *****(phone), 12:16, < xxxxx@xxxx.com> escreveu: dear customer, thank you for contacting *****(person). we hope you’re doing well. this email is regarding your concern about *****(person) worry i will do my best to solve your problem as soon as possible. in order to analyze your case in detail i will need the following information from you: error screenshot the name of the champagne you have attended your huawei id service country we would greatly appreciate your feedback regarding our email exchange, as we need your input to keep improving our service. therefore, we invite you to fill in the survey that will soon arrive on the email address you used to contact us. if you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. sincerely, silvia *****(person) customer support team *****(person) se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. *****(person) se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : tuesday 06 september *****(phone) 12:17 to : xxxxx@xxxx.com subject : *****(person) support issue submit product: appgallery & games requests: using appgallery (i.e. manage service country) contact full name: inês lavrador ramos phone numbe +*****(phone) contact email address: xxxxx@xxxx.com summary of the issue: good morning! i would like to know how i can use a voucher that i won on app gallery since the store now was put together with other store, and i still have the voucher to use! thanks in advance! home | news | events | products | partners | support copyright *****(person) se *****(phone) *****(phone) *****(phone)","AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",,,,
23624,66266,,support.pt@aspiegel.com,gamecentre problems and suggestions,description no moontoon contact information xxxxx@xxxx.com sent from my huawei phone,AppGallery &amp; Games / Other Requests,,,,
